serial.no,sampleID,mean,std_dev,kurtosis,rms
254,122_2,1991.5228571428572,216.50924774840436,-1.0412053898876856,2003.2516623872157
255,122_3,1915.1571428571428,267.05015930705815,-0.7937548195515474,1933.6775091839409
256,123_1,2096.1680952380952,224.18223596557644,-1.052651478811972,2108.116321788358
257,123_2,1991.9195238095238,222.6499263623469,-0.8420317246373981,2004.3185307872457
258,123_3,1976.4314285714286,150.7667984057873,-0.8797483062798062,1982.1707785249218
259,124_1,2054.102380952381,372.8252773948571,-1.0936424961915208,2087.6467826353237
260,124_2,1972.53,355.669419710494,-0.6406318808084199,2004.3241001822605
261,124_3,1995.33,169.78128226213477,-0.5187408188836149,2002.5368326676232
262,125_1,1987.2490476190476,220.60562915551407,-1.1481401731883503,1999.4505360699666
263,125_2,3908.905714285714,443.46849549235054,3.5494489522543233,3933.9693110140042
264,125_3,2024.7585714285715,145.25799458484877,-1.2115389796830258,2029.9598789138665
265,126_1,2061.5538095238094,118.08684742506198,-1.1439125317200145,2064.9314692883013
266,126_2,1927.2633333333333,170.54360495033328,-0.5655507046086434,1934.7907450530295
267,126_3,2010.29,105.26180611948892,-1.2436518756120987,2013.0426363379106
268,127_1,1885.3719047619047,233.54590476883337,-0.7799034216729983,1899.7749697567567
269,127_2,2034.0614285714287,175.01752049464253,-1.2481466701688124,2041.5735209461773
270,127_3,2005.1366666666668,135.65452957536928,-1.1524517662370672,2009.7180002368964
271,128_1,2092.4557142857143,317.5076992096009,-1.2303490982926057,2116.3964775060463
272,128_2,2080.5880952380953,327.71714955233944,-1.2594777400087764,2106.2274829656935
273,128_3,2027.1442857142856,157.9304387334095,-1.1497587398087659,2033.2840680604793
274,130_1,1977.5404761904763,368.0792305232713,-1.0538852521844377,2011.488041108823
275,130_2,1968.7780952380951,308.89831641948825,-0.8358825248844588,1992.8522075037029
276,130_3,1967.104761904762,154.44820552777026,-0.5498041940366951,1973.1558563208669
277,131_1,1991.5814285714287,369.2468385288639,-1.2043076673366244,2025.5060822045484
278,131_2,2003.5557142857142,296.9517283285728,-1.043341226556148,2025.4317659628598
279,131_3,2020.6519047619047,154.32978020712915,-1.3686489258647436,2026.534100261777
280,134_1,2266.7933333333335,487.1837632791079,-0.3859355098036854,2318.531218763498
281,134_2,1986.3728571428571,266.9726840556013,-0.8832342439996128,2004.2249378322215
282,134_3,2049.5242857142857,115.70184728922999,-0.8164261623121889,2052.7859948071036
283,135_1,2036.145238095238,221.71448823578172,-1.2848726150122012,2048.175123534769
284,135_2,1992.1795238095237,92.66549728770065,-0.9639048877845644,1994.3324849373012
285,135_3,2027.6709523809525,121.24417271713868,-1.2885062340795674,2031.2908803212283
286,136_1,2016.1757142857143,204.55372607596743,-0.7937644702897497,2026.5208641553984
287,136_2,2018.7428571428572,201.00117817290797,-1.200555779294772,2028.7200295001867
288,136_3,2039.3266666666666,99.0251769148336,-1.224057842368971,2041.728329020247
289,137_1,2007.7385714285715,143.39769270573188,-1.3658368134470436,2012.85053534013
290,137_2,2011.7419047619048,131.2804752384676,-1.3416549889481226,2016.0188113256897
291,137_3,1995.6566666666668,105.83317086614218,-1.0035763795211148,1998.45962121306
292,138_1,2084.0738095238094,206.3784983772203,-1.1432126793637394,2094.262506514042
293,138_2,2020.019523809524,175.92995839766087,-1.2738428240827104,2027.6625676120861
294,138_3,1996.9928571428572,222.51707343892357,-0.7470784153766208,2009.345849133138
295,139_1,2159.4714285714285,208.91851251554374,2.0974418826715553,2169.549034114825
296,139_2,2017.0395238095239,82.2511339292409,-1.0715864580432484,2018.7150537149214
297,139_3,2016.7247619047619,94.06607945807143,-0.8526331974860231,2018.9162882714131
298,140_1,1825.3433333333332,162.49559448224855,-0.4606044590674525,1832.5584653831972
299,140_2,2014.0295238095239,210.3062629479285,-1.1940650170021816,2024.9747123641534
300,140_3,1951.5085714285715,170.2139320977806,-1.2621839312658274,1958.914161079089
301,141_1,2044.3609523809523,227.59844489615847,-0.6504945503705768,2056.9851940574167
302,141_2,2002.517619047619,102.03405429731977,-0.9266901110183445,2005.114162644635
303,141_3,2022.5838095238096,107.63233486765608,-1.2847423751371008,2025.4442647290518
